"school_address","school_id","school_name","rating","user_ratings_total","school_latitude","school_longitude","city"
"159 Botany Rd, Botany Downs, Auckland 2010, New Zealand","f01d961708c4c7d93436ce374eb1e76bfdf5aaa0","Elim Christian College Botany Campus",4.3,21,-36.913851,174.915707,"Auckland"
"1 Kauri Glen Rd, Northcote, Auckland 0627, New Zealand","d7265a64dd4412e962fa9d89def46ae7bd8c0c3f","Northcote College",4.4,17,-36.8091679,174.7338819,"Auckland"
"31 Alberton Ave, Mount Albert, Auckland 1025, New Zealand","b194b92e88e136582ec616f26136ab34a060d1b5","Marist College",4.1,16,-36.8819153,174.7263581,"Auckland"
"2 Wairau Rd, Takapuna, Auckland 0627, New Zealand","6cd1a92de64fae74630bccae7693e50744aaca80","Westlake Girls' High School",4,46,-36.782824,174.7512139,"Auckland"
"6 Waipareira Ave, Henderson, Auckland 0610, New Zealand","80aa99a318361942776f30cbc22858d6a918d54f","ACG Sunderland",4.3,16,-36.864368,174.633199,"Auckland"
"575 Chapel Rd, Howick, Auckland 2016, New Zealand","c6dff8df3b7d0aa6ed35558a1722e068c4780fcf","Botany Downs Secondary College",4.2,41,-36.9343931,174.9159533,"Auckland"
"140 Birkdale Rd, Birkdale, Auckland 0626, New Zealand","ec4b83008a1ebef83bbfe35edbb165baba33f8a2","Birkenhead College",4.4,16,-36.799517,174.700861,"Auckland"
"34 Shakespeare Rd, Milford, Auckland 0620, New Zealand","146bd4954c48fd685293b07ffeea75c74326a4e5","Milford School",4.8,9,-36.7756246,174.7615814,"Auckland"
"564 E Coast Rd, Mairangi Bay, Auckland 0630, New Zealand","1061620489f3b7baaa7a30a7456ba7a29bc17404","Rangitoto College",3.9,53,-36.7382111,174.7359813,"Auckland"
"29 Rathgar Rd, Henderson, Auckland 0610, New Zealand","20553ce15255954f4a71d01a91cb43a93724a968","St Dominic's Girl’s Catholic College",3.3,12,-36.869253,174.621597,"Auckland"
"26 Northcote Rd, Takapuna, Auckland 0622, New Zealand","81b64e48fe2706f298da3c5dab4f819d9c5ce742","Takapuna Normal Intermediate",4.2,17,-36.7871679,174.7550503,"Auckland"
"Silver Rd, Epsom, Auckland 1023, New Zealand","044fe1845a7aa95bb09173064a26e4319bc4b46e","Epsom Girls' Grammar School",4.1,54,-36.8773613,174.775128,"Auckland"
"274 Don Buck Rd, Massey, Auckland 0614, New Zealand","f706b65a5fc5dc49d4d5fd16f164fdbc993d448d","Massey High School",3.6,47,-36.8423105,174.6016041,"Auckland"
"16 Howe St, Freemans Bay, Auckland 1011, New Zealand","379b2570e59d1836a4ac2957e8ac7844ae123d26","Auckland Girls' Grammar School",4.2,29,-36.856815,174.753582,"Auckland"
"Waiake, Auckland 0630, New Zealand","06ebfb77c69145e9fcab9b1bc7ff4fca3c3cd8a2","Torbay School",3.7,7,-36.7049708,174.7455939,"Auckland"
"100 Motions Rd, Western Springs, Auckland 1022, New Zealand","9793576acfa63bc15a69d05ffd40827fdddff33c","Western Springs College",4.4,29,-36.8619653,174.7175075,"Auckland"
"Frost Rd, Mount Roskill, Auckland 1041, New Zealand","f2c4e77dd3fdd97c45c8bcc3989ea954db78d8ab","Mount Roskill Primary School",4.4,28,-36.9110897,174.7478744,"Auckland"
"66 Ilam Rd, Ilam, Christchurch 8041, New Zealand","bc2a1bf7adb3e7f89cc72f991374bbbe2babc84d","Ilam School",3.5,10,-43.5260183,172.5804534,"Christchurch"
"21 Peer St, Upper Riccarton, Christchurch 8041, New Zealand","c6653c40164501ac13280bb8d53cd430883a67ec","Villa Maria College",3.6,11,-43.5289699,172.5675795,"Christchurch"
"257 Waimairi Rd, Ilam, Christchurch 8041, New Zealand","da8f415932453653a6534158ed3262c9cd529840","Westburn School",4,10,-43.51216,172.56964,"Christchurch"
"55 Avonhead Rd, Avonhead, Christchurch 8042, New Zealand","9228a1a805849d7add8035538b0e9d73ac0a04f2","Avonhead School",4.2,17,-43.5242456,172.559514,"Christchurch"
"109 Clyde Rd, Fendalton, Christchurch 8041, New Zealand","0b3edabf5cf6995136b5c7f53c1a6dc69f095d6c","Medbury School",4.4,23,-43.5211452,172.5882248,"Christchurch"
"96 Memorial Ave, Ilam, Christchurch 8053, New Zealand","0bdbfdc59695a8da7ddda96a54fe85fa892b604a","Burnside Primary School",4.3,17,-43.512482,172.5838326,"Christchurch"
"151 Greers Rd, Burnside, Christchurch 8053, New Zealand","43ca0dbccd63febcb6227558939ff83dac59732c","Burnside High School",3.5,47,-43.507674,172.576659,"Christchurch"
"294 Ilam Rd, Burnside, Christchurch 8053, New Zealand","ab17b5a6a962e444c8239c489ff41949a37a8c03","Cobham Intermediate School",3.3,27,-43.511367,172.585172,"Christchurch"
"168 Clyde Rd, Burnside, Christchurch 8053, New Zealand","5f1dd3b19c09414e2cc40e117fcaef897c91d0f1","Fendalton Open Air School",3.1,11,-43.5165538,172.5912664,"Christchurch"
"30 Acacia Ave, Upper Riccarton, Christchurch 8041, New Zealand","854ac971898bece075ef54eaefd89a962310af59","Middleton Grange School",4.3,30,-43.5362274,172.5759298,"Christchurch"
"31 Vicki St, Sockburn, Christchurch 8042, New Zealand","baa257ab8fbb893aedd28491cb6069087ac26f46","Riccarton High School",3.4,35,-43.5358987,172.564981,"Christchurch"
"67-69 Middlepark Rd, Sockburn, Christchurch 8042, New Zealand","6718c589d201f87f63f9c7b82fd835da8d2859ec","Saint Thomas of Canterbury College",4,27,-43.5344624,172.5569578,"Christchurch"
"Straven Rd, Fendalton, Christchurch 8041, New Zealand","2533b905f30ea902150369e2065de8ab744ca343","Christchurch Boys' High School",3.4,58,-43.5244878,172.6001995,"Christchurch"
"75 Cutts Rd, Russley, Christchurch 8042, New Zealand","6e86f30c13957abe1235f59fb80097f39f9bdbb8","Russley School",4.4,13,-43.5171182,172.5438133,"Christchurch"
"57 Plynlimon Rd, Bryndwr, Christchurch 8146, New Zealand","0af5a910430282739ec53c905398434892fb78ea","St Patrick's Catholic Primary School",3.9,7,-43.5118539,172.6044237,"Christchurch"
"10 Matai St, Riccarton, Christchurch 8011, New Zealand","11bede0995463404450d20b4679369cbc41d95ea","Christchurch Girls' High School",4.2,13,-43.524819,172.6103539,"Christchurch"
"260 Riccarton Rd, Riccarton, Christchurch 8041, New Zealand","98b9ac21e333b6a2e6dbd256c24ae4440e40dbdb","Kirkwood Intermediate School",3.7,20,-43.5292718,172.5845084,"Christchurch"
"12 Winchester St, Merivale, Christchurch 8014, New Zealand","75185357b30aecdd436642da1220e214211724e8","St Margaret's College",3.8,21,-43.519281,172.621904,"Christchurch"
"347 Papanui Rd, Strowan, Christchurch 8052, New Zealand","1b7aef1d728d9e993c0ac8dde62984a25754d207","St Andrew's College",3.6,19,-43.5073736,172.6148842,"Christchurch"
"Tankerville Rd, Hoon Hay, Christchurch 8025, New Zealand","4b1b1676d45d4eebf68c7701335dbf468ce747bd","Hillmorton High School",4,29,-43.557341,172.593294,"Christchurch"
"59 Hewitts Rd, Merivale, Christchurch 8014, New Zealand","5128bfbdc1d5809fdeacfedccf229d667a05f3e3","Rangi Ruru Girls' School",4.4,20,-43.519758,172.617577,"Christchurch"
"30 Langdons Rd, Papanui, Christchurch 8053, New Zealand","ff0ad2d4e0b7920e8d7921239fe8727aa41c9cb6","Papanui High School",3.5,35,-43.4915582,172.6071449,"Christchurch"
"180 Waterloo Rd, Hornby, Christchurch 8042, New Zealand","16a138d7d5ba263b3f1b30d6c5b47f382d42e1dd","Hornby High School",3,19,-43.537826,172.5257674,"Christchurch"
"15 Grants Rd, Papanui, Christchurch 8053, New Zealand","8f676094bcbcc58772ebf54e776282b07e47d7d2","Christchurch Adventist School",4.6,5,-43.4987795,172.6119353,"Christchurch"
"122 Merivale Ln, Merivale, Christchurch 8014, New Zealand","1fbe8e730b739038b0841d640ae338ff5e0c2ffc","Selwyn House",4.5,8,-43.5165225,172.6227971,"Christchurch"
"2 Chester St, Christchurch Central City, Christchurch 8013, New Zealand","ea2f5f62cba5a3f5b8c05f8d079d4a82a608adc6","Cathedral Grammar School",4,6,-43.5277977,172.628206,"Christchurch"
"85 Breens Rd, Bishopdale, Christchurch 8051, New Zealand","f7012d9f372085c821a287d90e9920d9e4d75145","Breens Intermediate",4.1,11,-43.486875,172.576397,"Christchurch"
"510 Hagley Ave, Addington, Christchurch 8011, New Zealand","be2473de2d50e11ce3ef95527d1ee3668037dda2","Hagley College",3.9,25,-43.5377911,172.6236951,"Christchurch"
"90 Veitches Rd, Casebrook, Christchurch 8051, New Zealand","ee53918fa6f03a38588be65ccd489ac66b1392ca","Casebrook Intermediate",4,15,-43.4826392,172.603429,"Christchurch"
"5 Mollett St, Christchurch Central City, Christchurch 8011, New Zealand","afb9acceb99907470a46b85af90abc02c8ebbb51","Ao Tawhiti Unlimited Discovery",4.5,17,-43.5360773,172.6358291,"Christchurch"
"2 Nash Rd, Aidanfield, Christchurch 8025, New Zealand","9e737686c316ae9791cdecd6c8c974a1e25c07ca","Aidanfield Christian School",4.5,6,-43.564091,172.5717105,"Christchurch"
"249 Durham Street South, Christchurch Central City, Christchurch 8011, New Zealand","c05fc58d7a657e9c372ee7ac17b6a0b897860581","St Michael's Church School",5,8,-43.5348913,172.6328551,"Christchurch"
"17 Sheppard Pl, St Albans, Christchurch 8014, New Zealand","2a24c0281e5091ce6197e03707ed3f71611936b1","St Albans School",4.8,17,-43.5082812,172.6347566,"Christchurch"
"122 Barbadoes St, Christchurch Central City, Christchurch 8011, New Zealand","0ac91eb9193594c65e0b318126d55d70e1dee8e9","Marian College, Christchurch, New Zealand",3.3,4,-43.539274,172.646113,"Christchurch"
"14A Aorangi Rd, Bryndwr, Christchurch 8053, New Zealand","da9b0efb873a7e414b60028fbde7cf0288e39b94","Allenvale School",2.3,3,-43.499866,172.597911,"Christchurch"
"210 Main N Rd, Papanui, Christchurch 8051, New Zealand","1a01dbdcd5075fb2f5b131bab771c37899cca367","St Bede's College, Christchurch",4.3,25,-43.4840538,172.6206556,"Christchurch"
"204 Selwyn St, Spreydon, Christchurch 8024, New Zealand","fdeabcdb9cab47b56fabaccda6b4e951f70bdd06","Christchurch South Intermediate",3.3,18,-43.5522973,172.6254055,"Christchurch"
"37 Cunningham Pl, Halswell, Christchurch 8025, New Zealand","2fffa8b0b5b69e3fd87ec57030cc6e7481ef771e","Oaklands School",2.1,32,-43.5715845,172.5642307,"Christchurch"
"250 Wairakei Rd, Bryndwr, Christchurch 8053, New Zealand","b94bd8c0dd9cbd293727ad38be6150614cc735be","Wairakei School",4.6,11,-43.499624,172.58857,"Christchurch"
"172 Rose St, Somerfield, Christchurch 8024, New Zealand","696901d0652aa2cc75727c300d05c3dcde5f49ab","Cashmere High School - Te iringa o Kahukura",3.2,54,-43.5644245,172.6237618,"Christchurch"
"Tillman Ave, Bryndwr, Christchurch 8052, New Zealand","d30caf418276a4b5be89f181d6f0c125e427a739","Waimairi School",4.2,13,-43.5049119,172.6054558,"Christchurch"
"440 Hills Road, 8052, New Zealand","cf2ee0b3008cbd1b74511ad1ed0416a2c4fd2f42","Mairehau High School",4.1,16,-43.4928324,172.6500322,"Christchurch"
"180 Avonside Dr, Avonside, Christchurch 8061, New Zealand","c88830c152ab26ec719027e449d968ee17260a2a","Linwood College",3.4,25,-43.5241574,172.6615372,"Christchurch"
"11 Shirley Rd, Shirley, Christchurch 8013, New Zealand","8987a9a6c322cf5d1f11c7aa4d104f8f6fe24f27","Shirley Primary School",3.7,10,-43.5077083,172.653973,"Christchurch"
"311 Gloucester St, Christchurch Central City, Christchurch 8011, New Zealand","fea1e607a34e16508b5fa994723d28fa270da418","Christchurch East School",4.7,9,-43.5295889,172.6471626,"Christchurch"
"60 Shirley Rd, Shirley, Christchurch 8013, New Zealand","e0f337935fa278a92e13634d6a5dfab442645703","Shirley Intermediate School",4.1,9,-43.5091286,172.6615092,"Christchurch"
"150 Wilsons Rd, St Martins, Christchurch 8023, New Zealand","55522776848d77eb53847c96510a5b37f8044cf4","Hillview Christian School",4.4,16,-43.556009,172.6535768,"Christchurch"
"32 Matipo St, Riccarton, Christchurch 8041, New Zealand","a9e513c2a10c94d0c3b700722511d00b3e595e6f","Wharenui School",4.8,8,-43.5364197,172.5968878,"Christchurch"
"62 Ferry Rd, Christchurch Central City, Christchurch 8011, New Zealand","1628dfead5d28312570a351db984438119affb3a","Catholic Cathedral College",3.7,13,-43.53835,172.6473414,"Christchurch"
"1 School Rd, Halswell, Christchurch 8025, New Zealand","091147d49f056f2b361cd4c0055bda8c797518db","Halswell School",4.2,15,-43.5899008,172.5703146,"Christchurch"
"92 Greers Rd, Burnside, Christchurch 8053, New Zealand","b313102366f41f57d32699a8bfb36020f7e765bf","Christ The King School",2.5,6,-43.509137,172.576745,"Christchurch"
"19 Ombersley Terrace, Opawa, Christchurch 8241, New Zealand","e51e30476177489ba82897c6af7fdd60d75e9e0d","Christchurch Rudolf Steiner School",3.2,13,-43.5598685,172.6590672,"Christchurch"
"104 Merivale Ln, Merivale, Christchurch 8014, New Zealand","f1dea18ce600fbcdcb451b6744bd7703d824db2b","Ferndale School",4,5,-43.5172106,172.6221754,"Christchurch"
"50 Cotswold Ave, Bishopdale, Christchurch 8053, New Zealand","c44927139a60f1564cba7a94e0b158b2712baf40","Cotswold School",4.4,12,-43.4828279,172.5878875,"Christchurch"
"76 Breezes Rd, Avondale, Christchurch 8061, New Zealand","db19c6949e8063fb66bc5414442f6e00d038fed0","Chisnallwood Intermediate",3.8,21,-43.510301,172.689185,"Christchurch"
"40 Spencer St, Addington, Christchurch 8024, New Zealand","19b8faefd0a5a2bba0d982234ff23075cc6c9010","Sacred Heart School",5,1,-43.5460159,172.6122117,"Christchurch"
"120 Paparoa St, Papanui, Christchurch 8053, New Zealand","7e217ad0f441d5f73006fc984cec0c75e080764e","Paparoa Street School",4.5,10,-43.4998935,172.6206626,"Christchurch"
"125 Heaton St, Merivale, Christchurch 8052, New Zealand","50c38ecc91289fe3f68926d0ea2f7cdc0c07b8d8","Heaton Normal Intermediate",3.9,25,-43.509712,172.614914,"Christchurch"
"721 Harewood Rd, Harewood, Christchurch 8051, New Zealand","671f7dc5782efc8d0f261b7923316ac93ad2548a","Harewood School",5,2,-43.480362,172.55934,"Christchurch"
"29 Aikmans Rd, Merivale, Christchurch 8014, New Zealand","4919c9d5c7b87caebb91f85b004aa322ee0bf192","Elmwood Normal School",4,8,-43.5137391,172.614745,"Christchurch"
"249 Taranaki St, Mount Cook, Wellington 6011, New Zealand","c9f55914526577f80ae3bc210b586af471960f16","Wellington High School",3.7,51,-41.3012712,174.7749478,"Wellington"
"Basin Reserve 15 Dufferin St, Mount Victoria, Wellington 6021, New Zealand","f280844d7c3c251f74854c3d6ff393b98046d109","Wellington College",3.4,88,-41.3034461,174.7818281,"Wellington"
"53 Hobson St, Thorndon, Wellington 6011, New Zealand","f979cf50b95538a13523a8c62bdc7f29b3c78c90","Queen Margaret College",3.7,9,-41.272159,174.7799744,"Wellington"
"Marsden Ave, Karori, Wellington 6012, New Zealand","86c923a0c2bd94b66d31d189198557b06d408fb3","Samuel Marsden Collegiate School",3.5,13,-41.2841,174.744,"Wellington"
"30 Waripori St, Berhampore, Wellington 6021 Waripori St, Berhampore, Wellington 6021, New Zealand","7d32eb2745004a6d97ce353f58ff146aabf6ddec","South Wellington Intermediate School",3.4,14,-41.3179193,174.7792465,"Wellington"
"1 Monorgan Rd, Strathmore Park, Wellington 6022, New Zealand","ad76bdcda1059f7f4ccfbe606dd34547270ebdc8","Scots College",3.1,50,-41.328277,174.819238,"Wellington"
"13 Dufferin St, Mount Victoria, Wellington 6021, New Zealand","f0a065ac32fd65de0f2450817a50d11156c533e4","St Mark's Church School",4,8,-41.3010855,174.7816241,"Wellington"
"38 Duncan St, Tawa, Wellington 5028, New Zealand","15b3f2eac797c5c6d93d54c0ee43128aff448b1b","Tawa College",4.2,17,-41.1654955,174.8315362,"Wellington"
"120 Mornington Rd, Brooklyn, Wellington 6021, New Zealand","082cdee1e76d5e42bcd4fc39458c6ee656ba577b","Ridgway School",3.4,16,-41.3157484,174.76458,"Wellington"
"68 Bracken Rd, Newlands, Wellington 6037, New Zealand","7e5dc41dd13dce9b3daa432a646ccf5a32a8fa3c","Newlands College",4.1,18,-41.2185896,174.8238169,"Wellington"
"Burma Rd, Johnsonville, Wellington 6035, New Zealand","8124b0efe9df43d733ba5c5291679628d39d659d","Onslow College",3.8,35,-41.2303131,174.7984234,"Wellington"
"48 Amesbury Dr, Churton Park, Wellington 6037, New Zealand","3acce23063e2902b0e9d4139be3e9f79dbafd673","Amesbury School",4.5,15,-41.1986366,174.802362,"Wellington"
"11 Mersey St, Island Bay, Wellington 6023, New Zealand","f904eb4f99201fecd9b46a65add15b54ad57f674","St Francis De Sales School",3,6,-41.337795,174.7747683,"Wellington"
"2 Starboard Ln, Whitby, Wellington 5024, New Zealand","d0af50fe4134ca432bcd68131c667f0ddd552643","Samuel Marsden Collegiate School Whitby",4.7,38,-41.115083,174.8941191,"Wellington"
"50 Nicholson Rd, Khandallah, Wellington 6035, New Zealand","543caac8264f3db303b732c591738de0f6467022","St Benedict's School",5,4,-41.2499074,174.7909162,"Wellington"
"Bracken Rd, Paparangi, Wellington 6037, New Zealand","e264fea17dfe2538d573b6104ceb861d2147f5c4","Newlands Intermediate School",3.7,15,-41.21914,174.8248825,"Wellington"
"40 Taft St, Brooklyn, Wellington 6021, New Zealand","d9b1fe4274a6cd004b4f0fd4237c5a0ea7947a70","St Bernards School",4.9,8,-41.308547,174.763572,"Wellington"
"9-11 Phillip St, Johnsonville, Wellington 6037, New Zealand","e202d6b9db0ef8256b5f62849a5ad7a4881e480a","St Brigid's School",4.7,7,-41.2224294,174.8020711,"Wellington"
"Ward St, Hamilton Lake, Hamilton 3204, New Zealand","6a1eb4a662876fc301396bb1ee05f5e251f7d5b9","Hamilton Girls' High School",3.4,34,-37.7902831,175.2764507,"Hamilton"
"141 Masters Ave, Silverdale, Hamilton 3216, New Zealand","d407f1392f27b9e7add75a44db48d447a73867a9","Hillcrest High School",4.2,29,-37.7925825,175.3258988,"Hamilton"
"200 Peachgrove Rd, Claudelands, Hamilton 3252, New Zealand","91e72f77c2d8a804760ffd0ff94441c8dfe0f3e9","Southwell School",3.7,18,-37.77439,175.2968531,"Hamilton"
"47/45 Peachgrove Rd, Hamilton East, Hamilton 3216, New Zealand","b8a4c793e5d979a78ae7d0387f3e09b310c8b8ef","Hamilton Boys' High School",4.1,45,-37.7861025,175.2961707,"Hamilton"
"4 N City Rd, Rototuna North, Hamilton 3281, New Zealand","a125d61dc1f3280d1b288dbb4bb6e043e6c9c19c","Hamilton Christian School",4.4,19,-37.7223949,175.2604497,"Hamilton"
"660 River Rd, Chartwell, Hamilton 3210, New Zealand","4ec69bdca17a1e75f2301659ba0df4cd3ad467d8","Waikato Diocesan School for Girls",3.7,6,-37.763845,175.2685791,"Hamilton"
"77 Hukanui Rd, Chartwell, Hamilton 3210, New Zealand","42c6d2fb7e06cf6ddfdfa47f894e3a120d8f371b","St Paul’s Collegiate School",4.1,21,-37.7600217,175.2829063,"Hamilton"
"85 Hillcrest Rd, Hillcrest, Hamilton 3214, New Zealand","39fa613ee339db87ddd51f32726d70789b9d804c","St John's College",4.3,12,-37.791893,175.317329,"Hamilton"
"37-57 Churchill Ave, Maeroa, Hamilton 3200, New Zealand","6b6ba807199eacd59400420b271281694e8437c7","Maeroa Intermediate School",4.4,26,-37.7778428,175.2603684,"Hamilton"
"52 Clyde St, Hamilton East, Hamilton 3216, New Zealand","991742dddde728fa69b008b34ddbb9a081c60799","Sacred Heart Girls' College, Hamilton",3.6,11,-37.7916943,175.295201,"Hamilton"
"6 Collins Rd, Deanwell, Hamilton 3206, New Zealand","da4de87b727d50883ebc93d7ef1d973f2c1573d7","Melville High School",3.7,13,-37.817209,175.281188,"Hamilton"
"25 Bankwood Rd, Chartwell, Hamilton 3210, New Zealand","2e1fd8fa46598d22bdd218067b34be6ede0cffcc","Fairfield College",3.8,19,-37.7622748,175.2757622,"Hamilton"
"72 Ellicott Rd, Nawton, Hamilton 3200, New Zealand","c08f3705ebae1899624169a76da1cea9363ce3b1","Fraser High School",4,21,-37.7839775,175.243137,"Hamilton"
"31 Hector Dr, Rototuna North, Hamilton 3210, New Zealand","59d6dfc96f4a5893c54936e340113c8f346cf768","Te Totara Primary School",4.6,9,-37.7193435,175.2660647,"Hamilton"
"30 Beale St, Hamilton East, Hamilton 3216, New Zealand","db893ab44acdc24a80cbe6ee02ad87ba069c28e4","Marian Catholic School",4.1,9,-37.7904506,175.2950242,"Hamilton"
"218 Cambridge Rd, Hillcrest, Hamilton 3216, New Zealand","d5a88432908014fdb82be222f2a1f9f55f04748d","Hillcrest Normal School",4.6,8,-37.8019944,175.3210529,"Hamilton"
"261 Clarkin Rd, Fairfield, Hamilton 3214, New Zealand","b9f43fc26e8a3f8a7c7bc5870f4d161923adb11c","Fairfield Intermediate School",2.8,22,-37.7624772,175.2838098,"Hamilton"
"62 Silverdale Rd, Silverdale, Hamilton 3216, New Zealand","ccb7013919cc0d7963604258cd6cd13eb1a9a297","Silverdale Normal School",4.1,8,-37.7924175,175.3300982,"Hamilton"
"23 Strathmore Dr, Rototuna, Hamilton 3210, New Zealand","08a24ae01cb3981dd623d46aeb290acdf62f03e3","Rototuna Primary School",4.6,20,-37.7324182,175.2770644,"Hamilton"
"Dinsdale, Hamilton 3204, New Zealand","00e9f433a004b0e5cee6b2084137ca035f417990","Aberdeen School",4,14,-37.7884812,175.2439459,"Hamilton"
"72 Peachgrove Rd, Hamilton East, Hamilton 3216, New Zealand","2a1682edea130478ab0e04c5d4edf26af55ad1f3","Peachgrove Intermediate",4.5,11,-37.784491,175.298408,"Hamilton"
"26 Berkley Ave, Hillcrest, Hamilton 3216, New Zealand","c7da24a390fb2309d8b3e5e4ac34f06133948281","Berkley Normal Middle School",4.1,15,-37.8025453,175.3273385,"Hamilton"
"45 Knighton Rd, Hillcrest, Hamilton 3216, New Zealand","073112c3f04d3b43849e5ebecda38587de2350b4","Knighton Normal School",4,10,-37.7935849,175.3094211,"Hamilton"
"260 Clarkin Rd, Fairfield, Hamilton 3214, New Zealand","95150d67919c97d582275291fdbcb7bf09c95e7a","Fairfield Primary School",5,3,-37.7647816,175.2848568,"Hamilton"
"86 Endeavour Ave, Flagstaff, Hamilton 3210, New Zealand","447dc373e8560e15428fc3277610eda190e8e8fe","Endeavour School",3.6,7,-37.732339,175.253524,"Hamilton"
"Warwick Ave, St Andrews, Hamilton 3200, New Zealand","81cc5695e837955ec55823cb6e6a0d5cf7f3d4d0","Hamilton North School",4,4,-37.7552465,175.2556725,"Hamilton"
"85 Barrington Dr, Huntington, Hamilton 3210, New Zealand","71b6dcad52eb27d5ef27bd4d0d9f702fb46687dd","Waikato Waldorf School",3.3,3,-37.7252715,175.2815054,"Hamilton"
"Crawshaw Dr, Nawton, Hamilton 3200, New Zealand","f1cf40fca34f6a288ccaae8d5ba0d1decbe33338","Crawshaw School",5,2,-37.7740093,175.2321316,"Hamilton"
"152 Bankwood Rd, Chartwell, Hamilton 3210, New Zealand","696578f72b72f425004f8db881e5dd9201aea834","Bankwood School",4,1,-37.7545314,175.2770974,"Hamilton"
"21 Woodstock Rd, Fairfield, Hamilton 3214, New Zealand","d2772e71ebdbe96c4c8e83a511ecff0751759b6e","Woodstock School",3.2,10,-37.7688541,175.2733584,"Hamilton"
